,names,labels
203,castle,0
204,castle,0
205,castle,0
206,castle,0
207,castle,0
208,castle,0
209,castle,0
210,castle,0
211,castle,0
212,castle,0
32,hurricane,0
33,hurricane,0
34,hurricane,0
35,hurricane,0
36,hurricane,0
37,hurricane,0
38,hurricane,0
39,hurricane,0
40,hurricane,0
41,hurricane,0
183,owl,0
184,owl,0
185,owl,0
186,owl,0
187,owl,0
188,owl,0
189,owl,0
190,owl,0
191,owl,0
192,owl,0
213,pyramid,0
214,pyramid,0
215,pyramid,0
216,pyramid,0
217,pyramid,0
218,pyramid,0
219,pyramid,0
220,pyramid,0
221,pyramid,0
222,pyramid,0
223,rock_climbing,0
224,rock_climbing,0
225,rock_climbing,0
226,rock_climbing,0
227,rock_climbing,0
228,rock_climbing,0
229,rock_climbing,0
230,rock_climbing,0
231,rock_climbing,0
232,rock_climbing,0
233,rock_climbing,0
12,dreams,1
13,dreams,1
14,dreams,1
15,dreams,1
16,dreams,1
17,dreams,1
18,dreams,1
19,dreams,1
20,dreams,1
21,dreams,1
22,gambling,1
23,gambling,1
24,gambling,1
25,gambling,1
26,gambling,1
27,gambling,1
28,gambling,1
29,gambling,1
30,gambling,1
31,gambling,1
42,ice_cream,1
43,ice_cream,1
44,ice_cream,1
45,ice_cream,1
46,ice_cream,1
47,ice_cream,1
48,ice_cream,1
49,ice_cream,1
50,ice_cream,1
51,ice_cream,1
92,pharmacist,1
93,pharmacist,1
94,pharmacist,1
95,pharmacist,1
96,pharmacist,1
97,pharmacist,1
98,pharmacist,1
99,pharmacist,1
100,pharmacist,1
101,pharmacist,1
132,taste,1
133,taste,1
134,taste,1
135,taste,1
136,taste,1
137,taste,1
138,taste,1
139,taste,1
140,taste,1
173,painter,3
174,painter,3
175,painter,3
176,painter,3
177,painter,3
178,painter,3
179,painter,3
180,painter,3
181,painter,3
182,painter,3
122,blindness,4
123,blindness,4
124,blindness,4
125,blindness,4
126,blindness,4
127,blindness,4
128,blindness,4
129,blindness,4
130,blindness,4
131,blindness,4
141,bone_fracture,4
142,bone_fracture,4
143,bone_fracture,4
144,bone_fracture,4
145,bone_fracture,4
146,bone_fracture,4
147,bone_fracture,4
148,bone_fracture,4
149,bone_fracture,4
150,bone_fracture,4
151,bone_fracture,4
72,computer_graphics,4
73,computer_graphics,4
74,computer_graphics,4
75,computer_graphics,4
76,computer_graphics,4
77,computer_graphics,4
78,computer_graphics,4
79,computer_graphics,4
80,computer_graphics,4
81,computer_graphics,4
193,polar_bear,4
194,polar_bear,4
195,polar_bear,4
196,polar_bear,4
197,polar_bear,4
198,polar_bear,4
199,polar_bear,4
200,polar_bear,4
201,polar_bear,4
202,polar_bear,4
102,stress,4
103,stress,4
104,stress,4
105,stress,4
106,stress,4
107,stress,4
108,stress,4
109,stress,4
110,stress,4
111,stress,4
1,beekeeping,5
2,beekeeping,5
3,beekeeping,5
4,beekeeping,5
5,beekeeping,5
6,beekeeping,5
7,beekeeping,5
8,beekeeping,5
9,beekeeping,5
10,beekeeping,5
11,beekeeping,5
152,infection,5
153,infection,5
154,infection,5
155,infection,5
156,infection,5
157,infection,5
158,infection,5
159,infection,5
160,infection,5
161,infection,5
162,opera,5
163,opera,5
164,opera,5
165,opera,5
166,opera,5
167,opera,5
168,opera,5
169,opera,5
170,opera,5
171,opera,5
172,opera,5
112,tuxedo,5
113,tuxedo,5
114,tuxedo,5
115,tuxedo,5
116,tuxedo,5
117,tuxedo,5
118,tuxedo,5
119,tuxedo,5
120,tuxedo,5
121,tuxedo,5
52,lawn_mower,6
53,lawn_mower,6
54,lawn_mower,6
55,lawn_mower,6
56,lawn_mower,6
57,lawn_mower,6
58,lawn_mower,6
59,lawn_mower,6
60,lawn_mower,6
61,lawn_mower,6
0,skiing,6
234,skiing,6
235,skiing,6
236,skiing,6
237,skiing,6
238,skiing,6
239,skiing,6
240,skiing,6
241,skiing,6
242,skiing,6
62,astronaut,7
63,astronaut,7
64,astronaut,7
65,astronaut,7
66,astronaut,7
67,astronaut,7
68,astronaut,7
69,astronaut,7
70,astronaut,7
71,astronaut,7
82,law_school,7
83,law_school,7
84,law_school,7
85,law_school,7
86,law_school,7
87,law_school,7
88,law_school,7
89,law_school,7
90,law_school,7
91,law_school,7
