,names,labels
42,ice_cream,0
43,ice_cream,0
44,ice_cream,0
45,ice_cream,0
46,ice_cream,0
47,ice_cream,0
48,ice_cream,0
49,ice_cream,0
50,ice_cream,0
51,ice_cream,0
22,gambling,1
23,gambling,1
24,gambling,1
25,gambling,1
26,gambling,1
27,gambling,1
28,gambling,1
29,gambling,1
30,gambling,1
31,gambling,1
82,law_school,1
83,law_school,1
84,law_school,1
85,law_school,1
86,law_school,1
87,law_school,1
88,law_school,1
89,law_school,1
90,law_school,1
91,law_school,1
92,pharmacist,1
93,pharmacist,1
94,pharmacist,1
95,pharmacist,1
96,pharmacist,1
97,pharmacist,1
98,pharmacist,1
99,pharmacist,1
100,pharmacist,1
101,pharmacist,1
203,castle,3
204,castle,3
205,castle,3
206,castle,3
207,castle,3
208,castle,3
209,castle,3
210,castle,3
211,castle,3
212,castle,3
32,hurricane,3
33,hurricane,3
34,hurricane,3
35,hurricane,3
36,hurricane,3
37,hurricane,3
38,hurricane,3
39,hurricane,3
40,hurricane,3
41,hurricane,3
213,pyramid,3
214,pyramid,3
215,pyramid,3
216,pyramid,3
217,pyramid,3
218,pyramid,3
219,pyramid,3
220,pyramid,3
221,pyramid,3
222,pyramid,3
112,tuxedo,4
113,tuxedo,4
114,tuxedo,4
115,tuxedo,4
116,tuxedo,4
117,tuxedo,4
118,tuxedo,4
119,tuxedo,4
120,tuxedo,4
121,tuxedo,4
122,blindness,5
123,blindness,5
124,blindness,5
125,blindness,5
126,blindness,5
127,blindness,5
128,blindness,5
129,blindness,5
130,blindness,5
131,blindness,5
152,infection,5
153,infection,5
154,infection,5
155,infection,5
156,infection,5
157,infection,5
158,infection,5
159,infection,5
160,infection,5
161,infection,5
183,owl,6
184,owl,6
185,owl,6
186,owl,6
187,owl,6
188,owl,6
189,owl,6
190,owl,6
191,owl,6
192,owl,6
193,polar_bear,6
194,polar_bear,6
195,polar_bear,6
196,polar_bear,6
197,polar_bear,6
198,polar_bear,6
199,polar_bear,6
200,polar_bear,6
201,polar_bear,6
202,polar_bear,6
52,lawn_mower,7
53,lawn_mower,7
54,lawn_mower,7
55,lawn_mower,7
56,lawn_mower,7
57,lawn_mower,7
58,lawn_mower,7
59,lawn_mower,7
60,lawn_mower,7
61,lawn_mower,7
223,rock_climbing,7
224,rock_climbing,7
225,rock_climbing,7
226,rock_climbing,7
227,rock_climbing,7
228,rock_climbing,7
229,rock_climbing,7
230,rock_climbing,7
231,rock_climbing,7
232,rock_climbing,7
233,rock_climbing,7
0,skiing,7
234,skiing,7
235,skiing,7
236,skiing,7
237,skiing,7
238,skiing,7
239,skiing,7
240,skiing,7
241,skiing,7
242,skiing,7
62,astronaut,8
63,astronaut,8
64,astronaut,8
65,astronaut,8
66,astronaut,8
67,astronaut,8
68,astronaut,8
69,astronaut,8
70,astronaut,8
71,astronaut,8
72,computer_graphics,8
73,computer_graphics,8
74,computer_graphics,8
75,computer_graphics,8
76,computer_graphics,8
77,computer_graphics,8
78,computer_graphics,8
79,computer_graphics,8
80,computer_graphics,8
81,computer_graphics,8
12,dreams,8
13,dreams,8
14,dreams,8
15,dreams,8
16,dreams,8
17,dreams,8
18,dreams,8
19,dreams,8
20,dreams,8
21,dreams,8
162,opera,8
163,opera,8
164,opera,8
165,opera,8
166,opera,8
167,opera,8
168,opera,8
169,opera,8
170,opera,8
171,opera,8
172,opera,8
173,painter,8
174,painter,8
175,painter,8
176,painter,8
177,painter,8
178,painter,8
179,painter,8
180,painter,8
181,painter,8
182,painter,8
1,beekeeping,9
2,beekeeping,9
3,beekeeping,9
4,beekeeping,9
5,beekeeping,9
6,beekeeping,9
7,beekeeping,9
8,beekeeping,9
9,beekeeping,9
10,beekeeping,9
11,beekeeping,9
102,stress,10
103,stress,10
104,stress,10
105,stress,10
106,stress,10
107,stress,10
108,stress,10
109,stress,10
110,stress,10
111,stress,10
132,taste,10
133,taste,10
134,taste,10
135,taste,10
136,taste,10
137,taste,10
138,taste,10
139,taste,10
140,taste,10
141,bone_fracture,11
142,bone_fracture,11
143,bone_fracture,11
144,bone_fracture,11
145,bone_fracture,11
146,bone_fracture,11
147,bone_fracture,11
148,bone_fracture,11
149,bone_fracture,11
150,bone_fracture,11
151,bone_fracture,11
