,names,labels
62,astronaut,0
63,astronaut,0
64,astronaut,0
65,astronaut,0
66,astronaut,0
67,astronaut,0
68,astronaut,0
69,astronaut,0
70,astronaut,0
71,astronaut,0
72,computer_graphics,0
73,computer_graphics,0
74,computer_graphics,0
75,computer_graphics,0
76,computer_graphics,0
77,computer_graphics,0
78,computer_graphics,0
79,computer_graphics,0
80,computer_graphics,0
81,computer_graphics,0
22,gambling,0
23,gambling,0
24,gambling,0
25,gambling,0
26,gambling,0
27,gambling,0
28,gambling,0
29,gambling,0
30,gambling,0
31,gambling,0
32,hurricane,0
33,hurricane,0
34,hurricane,0
35,hurricane,0
36,hurricane,0
37,hurricane,0
38,hurricane,0
39,hurricane,0
40,hurricane,0
41,hurricane,0
82,law_school,0
83,law_school,0
84,law_school,0
85,law_school,0
86,law_school,0
87,law_school,0
88,law_school,0
89,law_school,0
90,law_school,0
91,law_school,0
52,lawn_mower,0
53,lawn_mower,0
54,lawn_mower,0
55,lawn_mower,0
56,lawn_mower,0
57,lawn_mower,0
58,lawn_mower,0
59,lawn_mower,0
60,lawn_mower,0
61,lawn_mower,0
92,pharmacist,0
93,pharmacist,0
94,pharmacist,0
95,pharmacist,0
96,pharmacist,0
97,pharmacist,0
98,pharmacist,0
99,pharmacist,0
100,pharmacist,0
101,pharmacist,0
12,dreams,1
13,dreams,1
14,dreams,1
15,dreams,1
16,dreams,1
17,dreams,1
18,dreams,1
19,dreams,1
20,dreams,1
21,dreams,1
162,opera,1
163,opera,1
164,opera,1
165,opera,1
166,opera,1
167,opera,1
168,opera,1
169,opera,1
170,opera,1
171,opera,1
172,opera,1
173,painter,1
174,painter,1
175,painter,1
176,painter,1
177,painter,1
178,painter,1
179,painter,1
180,painter,1
181,painter,1
182,painter,1
1,beekeeping,2
2,beekeeping,2
3,beekeeping,2
4,beekeeping,2
5,beekeeping,2
6,beekeeping,2
7,beekeeping,2
8,beekeeping,2
9,beekeeping,2
10,beekeeping,2
11,beekeeping,2
122,blindness,2
123,blindness,2
124,blindness,2
125,blindness,2
126,blindness,2
127,blindness,2
128,blindness,2
129,blindness,2
130,blindness,2
131,blindness,2
152,infection,2
153,infection,2
154,infection,2
155,infection,2
156,infection,2
157,infection,2
158,infection,2
159,infection,2
160,infection,2
161,infection,2
223,rock_climbing,2
224,rock_climbing,2
225,rock_climbing,2
226,rock_climbing,2
227,rock_climbing,2
228,rock_climbing,2
229,rock_climbing,2
230,rock_climbing,2
231,rock_climbing,2
232,rock_climbing,2
233,rock_climbing,2
0,skiing,2
234,skiing,2
235,skiing,2
236,skiing,2
237,skiing,2
238,skiing,2
239,skiing,2
240,skiing,2
241,skiing,2
242,skiing,2
102,stress,2
103,stress,2
104,stress,2
105,stress,2
106,stress,2
107,stress,2
108,stress,2
109,stress,2
110,stress,2
111,stress,2
203,castle,3
204,castle,3
205,castle,3
206,castle,3
207,castle,3
208,castle,3
209,castle,3
210,castle,3
211,castle,3
212,castle,3
42,ice_cream,3
43,ice_cream,3
44,ice_cream,3
45,ice_cream,3
46,ice_cream,3
47,ice_cream,3
48,ice_cream,3
49,ice_cream,3
50,ice_cream,3
51,ice_cream,3
183,owl,3
184,owl,3
185,owl,3
186,owl,3
187,owl,3
188,owl,3
189,owl,3
190,owl,3
191,owl,3
192,owl,3
193,polar_bear,3
194,polar_bear,3
195,polar_bear,3
196,polar_bear,3
197,polar_bear,3
198,polar_bear,3
199,polar_bear,3
200,polar_bear,3
201,polar_bear,3
202,polar_bear,3
213,pyramid,3
214,pyramid,3
215,pyramid,3
216,pyramid,3
217,pyramid,3
218,pyramid,3
219,pyramid,3
220,pyramid,3
221,pyramid,3
222,pyramid,3
132,taste,3
133,taste,3
134,taste,3
135,taste,3
136,taste,3
137,taste,3
138,taste,3
139,taste,3
140,taste,3
112,tuxedo,3
113,tuxedo,3
114,tuxedo,3
115,tuxedo,3
116,tuxedo,3
117,tuxedo,3
118,tuxedo,3
119,tuxedo,3
120,tuxedo,3
121,tuxedo,3
141,bone_fracture,4
142,bone_fracture,4
143,bone_fracture,4
144,bone_fracture,4
145,bone_fracture,4
146,bone_fracture,4
147,bone_fracture,4
148,bone_fracture,4
149,bone_fracture,4
150,bone_fracture,4
151,bone_fracture,4
